,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr
641,2019-07-23,2994.74,3005.8999,2988.5601,3005.47,3005.47,3313660000.0,0.0,1.0,30.0,12.6,42.12000000000001,9.18,-0.36505183568644894
642,2019-07-24,2998.77,3019.5901,2996.8201,3019.5601,3019.5601,3428980000.0,0.0,1.0,28.5,13.05,40.5,11.56,-0.517783412581127
643,2019-07-25,3016.26,3016.3101,2997.24,3003.6699,3003.6699,3645270000.0,0.0,1.0,27.9,13.05,39.42,9.35,-0.36464368740773107
644,2019-07-26,3013.25,3027.98,3012.5901,3025.8601,3025.8601,3257590000.0,0.0,1.0,22.8,11.7,43.74,8.84,-0.579639311593596
645,2019-07-29,3024.47,3025.6101,3014.3,3020.97,3020.97,3203710000.0,0.0,1.0,23.520000000000003,11.18,42.12000000000001,9.18,-0.663206248074786
646,2019-07-30,3007.6599,3017.1899,3000.9399,3013.1799,3013.1799,3634330000.0,0.0,1.0,21.840000000000003,12.04,41.58000000000001,10.03,-0.6604586026063279
647,2019-07-31,3016.22,3017.3999,2958.0801,2980.3799,2980.3799,4623430000.0,0.0,1.0,23.520000000000003,12.04,40.5,9.18,-0.6086816286384978
648,2019-08-01,2980.3201,3013.5901,2945.23,2953.5601,2953.5601,4762300000.0,0.0,1.0,19.32,38.27,44.28,13.260000000000002,-0.648234596514241
649,2019-08-02,2943.8999,2945.5,2914.1101,2932.05,2932.05,3874660000.0,0.0,1.0,21.56,37.84,45.90000000000001,13.090000000000002,-0.19352450354914497
650,2019-08-05,2898.0701,2898.0701,2822.1201,2844.74,2844.74,4513730000.0,0.0,1.0,30.0,44.16,43.46,21.0,0.0596111642509189
651,2019-08-06,2861.1799,2884.3999,2847.4199,2881.77,2881.77,4154240000.0,0.0,1.0,24.0,45.54,42.93,17.64,0.418141986452998
652,2019-08-07,2858.6499,2892.1699,2825.71,2883.98,2883.98,4491750000.0,0.0,1.0,21.6,46.0,39.75,20.16,0.40281314769226595
653,2019-08-08,2896.21,2938.72,2894.47,2938.0901,2938.0901,4106370000.0,0.0,1.0,23.7,44.16,40.28,17.849999999999994,0.5941233130017459
654,2019-08-09,2930.51,2935.75,2900.1499,2918.6499,2918.6499,3350640000.0,0.0,1.0,25.8,41.86,44.52,18.06,0.573044033595886
655,2019-08-12,2907.0701,2907.5801,2873.1399,2882.7,2882.7,2851630000.0,0.0,1.0,24.07,44.62000000000001,41.58000000000001,13.68,0.6120812977854351
656,2019-08-13,2880.72,2943.3101,2877.05,2926.3201,2926.3201,3853600000.0,0.0,1.0,24.36,42.32,42.12000000000001,13.14,0.43470369619533894
657,2019-08-14,2894.1499,2894.1499,2839.6399,2840.6001,2840.6001,4312530000.0,0.0,1.0,24.65,44.62000000000001,42.66,13.32,0.35438154217551
658,2019-08-15,2846.2,2856.6699,2825.51,2847.6001,2847.6001,4038000000.0,0.0,1.0,24.07,43.24,42.66,13.68,0.301919952742175
659,2019-08-16,2864.74,2893.6299,2864.74,2888.6799,2888.6799,3498150000.0,0.0,1.0,22.91,40.48,44.28,14.76,0.36374150040109904
660,2019-08-19,2913.48,2931.0,2913.48,2923.6499,2923.6499,3212880000.0,0.0,1.0,23.49,42.75,42.40000000000001,11.7,0.5581702235572149
661,2019-08-20,2919.01,2923.6299,2899.6001,2900.51,2900.51,3066300000.0,0.0,1.0,21.75,41.4,40.81,12.06,0.157599069834779
662,2019-08-21,2922.04,2928.73,2917.9099,2924.4299,2924.4299,3011190000.0,0.0,1.0,26.68,41.4,39.22,16.02,0.0394427574698879
663,2019-08-22,2930.9399,2939.0801,2904.51,2922.95,2922.95,2890880000.0,0.0,1.0,25.81,44.1,40.28,16.02,0.54072495969618
664,2019-08-23,2911.0701,2927.01,2834.97,2847.1101,2847.1101,3937300000.0,0.0,1.0,24.94,40.5,44.52,14.94,0.5813150035066129
665,2019-08-26,2866.7,2879.27,2856.0,2878.3799,2878.3799,2857600000.0,0.0,1.0,29.4,38.22,37.74,12.920000000000002,0.49412976779486606
666,2019-08-27,2893.1399,2898.79,2860.5901,2869.1599,2869.1599,3533630000.0,0.0,1.0,26.1,38.64,37.74,12.24,0.315886221300148
667,2019-08-28,2861.28,2890.03,2853.05,2887.9399,2887.9399,3097420000.0,0.0,1.0,23.4,38.64,38.25,13.260000000000002,0.14074085120691102
668,2019-08-29,2910.3701,2930.5,2905.6699,2924.5801,2924.5801,3176190000.0,0.0,1.0,26.1,37.8,38.25,12.58,0.28653693927242896
669,2019-08-30,2937.0901,2940.4299,2913.3201,2926.46,2926.46,3008450000.0,0.0,1.0,25.2,34.44,40.29,11.39,0.19975872904979602
670,2019-09-03,2909.01,2914.3899,2891.8501,2906.27,2906.27,3426790000.0,0.0,1.0,20.7,34.08,40.28,4.05,-0.10057232115862699
671,2019-09-04,2924.6699,2938.8401,2921.8601,2937.78,2937.78,3163260000.0,0.0,1.0,25.2,30.72,41.34,4.35,-0.5944074783001689
672,2019-09-05,2960.6001,2985.8601,2960.6001,2976.0,2976.0,3890700000.0,0.0,1.0,29.7,31.68,40.81,5.25,-0.641164191650045
673,2019-09-06,2980.3301,2985.03,2972.51,2978.71,2978.71,3208280000.0,0.0,1.0,23.4,33.12,42.40000000000001,4.8,-0.680874628212759
674,2019-09-09,2988.4299,2989.4299,2969.3899,2978.4299,2978.4299,4002890000.0,0.0,1.0,24.0,28.81,39.0,5.12,-0.7293488183408608
675,2019-09-10,2971.01,2979.3899,2957.01,2979.3899,2979.3899,4390770000.0,0.0,1.0,26.24,27.95,37.0,5.6000000000000005,-0.736588235790014
676,2019-09-11,2981.4099,3000.9299,2975.3101,3000.9299,3000.9299,3927550000.0,0.0,1.0,28.8,33.97,36.0,5.76,-0.734969009550455
