date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2018-11-14,2018-11-14,342.7,347.11,337.15,344.0,344.0,5040287.0,0.0,1.0,16.72,3.6,3.99
2018-11-15,2018-11-15,342.33,348.58,339.04,348.44,348.44,4625719.0,0.0,1.0,15.77,3.96,3.5000000000000004
2018-11-16,2018-11-16,345.19,355.7,345.1201,354.31,354.31,7206191.0,0.0,1.0,17.48,4.62,3.99
2018-11-19,2018-11-19,356.34,366.75,352.88,353.47,353.47,9708871.0,0.0,1.0,16.91,4.2,3.12
2018-11-20,2018-11-20,341.75,349.8,333.55,347.49,347.49,8004709.0,0.0,1.0,15.96,3.6,3.06
2018-11-21,2018-11-21,352.0,353.1,337.3995,338.19,338.19,4686808.0,0.0,1.0,16.15,4.26,3.24
2018-11-23,2018-11-23,334.345,337.5,325.55,325.83,325.83,4202642.0,0.0,1.0,16.15,3.0,2.64
2018-11-26,2018-11-26,325.0,346.22,325.0,346.0,346.0,7992141.0,0.0,1.0,16.2,6.72,5.28
2018-11-27,2018-11-27,340.05,346.96,335.5,343.92,343.92,6358300.0,0.0,1.0,17.400000000000002,6.96,5.76
2018-11-28,2018-11-28,345.99,348.28,342.21,347.87,347.87,4127578.0,0.0,1.0,18.0,8.0,6.5600000000000005
2018-11-29,2018-11-29,347.0,347.5,339.55,341.17,341.17,3080724.0,0.0,1.0,18.4,7.6,6.08
2018-11-30,2018-11-30,341.83,351.6,338.2648,350.48,350.48,5628895.0,0.0,1.0,18.8,6.72,5.6000000000000005
2018-12-03,2018-12-03,360.0,366.0,352.0,358.49,358.49,8306511.0,0.0,1.0,14.63,1.96,2.45
2018-12-04,2018-12-04,356.05,368.68,352.0,359.7,359.7,8461945.0,0.0,1.0,14.63,1.96,2.5200000000000005
2018-12-06,2018-12-06,356.01,367.38,350.76,363.06,363.06,7842508.0,0.0,1.0,14.25,1.6800000000000002,1.6800000000000002
2018-12-07,2018-12-07,369.0,379.49,357.65,357.965,357.965,11511177.0,0.0,1.0,14.25,1.89,2.03
2018-12-10,2018-12-10,360.0,365.98,353.12,365.15,365.15,6613455.0,0.0,1.0,18.48,10.0,10.0
2018-12-11,2018-12-11,369.91,372.1689,360.23,366.76,366.76,6308769.0,0.0,1.0,16.59,4.6000000000000005,5.6000000000000005
2018-12-12,2018-12-12,369.42,371.91,365.16,366.6,366.6,5027048.0,0.0,1.0,15.96,3.6,3.4000000000000004
2018-12-13,2018-12-13,370.15,377.44,366.75,376.79,376.79,7365854.0,0.0,1.0,17.43,3.4000000000000004,3.4000000000000004
2018-12-14,2018-12-14,375.0,377.87,364.33,365.71,365.71,6337555.0,0.0,1.0,17.64,3.3000000000000003,3.8
2018-12-17,2018-12-17,362.0,365.7,343.88,348.42,348.42,7674008.0,0.0,1.0,17.82,2.34,2.52
2018-12-18,2018-12-18,350.54,351.55,333.69,337.03,337.03,7099999.0,0.0,1.0,17.82,2.43,2.7
2018-12-19,2018-12-19,337.6,347.01,329.74,332.97,332.97,8274181.0,0.0,1.0,18.92,5.58,5.58
2018-12-20,2018-12-20,327.0535,330.29,311.869,315.38,315.38,9071858.0,0.0,1.0,19.14,4.41,4.68
2018-12-21,2018-12-21,317.4,323.47,312.44,319.77,319.77,8016801.0,0.0,1.0,18.92,2.88,3.96
2018-12-24,2018-12-24,313.5,314.5,295.195,295.39,295.39,5559913.0,0.0,1.0,21.12,2.31,2.1700000000000004
2018-12-26,2018-12-26,300.0,326.97,294.09,326.09,326.09,8163138.0,0.0,1.0,21.6,1.96,2.03
2018-12-27,2018-12-27,319.84,322.1717,301.5,316.13,316.13,8575133.0,0.0,1.0,24.0,2.1,1.8200000000000005
2018-12-28,2018-12-28,323.1,336.24,318.41,333.87,333.87,9938992.0,0.0,1.0,21.84,2.1,2.03
2018-12-31,2018-12-31,337.79,339.21,325.26,332.8,332.8,6302338.0,0.0,1.0,19.55,1.38,1.8200000000000005
2019-01-02,2019-01-02,306.1,315.13,298.8,310.12,310.12,11658648.0,0.0,1.0,23.0,5.46,5.880000000000001
2019-01-03,2019-01-03,307.0,309.4,297.38,300.36,300.36,6965184.0,0.0,1.0,19.78,4.8599999999999985,5.74
2019-01-04,2019-01-04,306.0,318.0,302.73,317.69,317.69,7394116.0,0.0,1.0,15.87,6.0,5.32
2019-01-07,2019-01-07,321.72,336.74,317.7508,334.96,334.96,7551225.0,0.0,1.0,14.25,5.32,5.040000000000001
2019-01-08,2019-01-08,341.96,344.01,327.02,335.35,335.35,7008516.0,0.0,1.0,13.87,5.250000000000001,5.460000000000001
2019-01-09,2019-01-09,335.5,343.5025,331.47,338.53,338.53,5432945.0,0.0,1.0,13.3,6.0200000000000005,5.670000000000001
2019-01-10,2019-01-10,334.4,345.39,331.79,344.97,344.97,6056354.0,0.0,1.0,14.06,5.8100000000000005,5.95
2019-01-11,2019-01-11,342.09,348.41,338.77,347.26,347.26,5039052.0,0.0,1.0,13.68,6.790000000000001,6.580000000000001
2019-01-14,2019-01-14,342.38,342.5,334.0,334.4,334.4,5247284.0,0.0,1.0,13.65,4.08,4.2
2019-01-15,2019-01-15,335.0,348.8,334.5,344.43,344.43,6056590.0,0.0,1.0,14.49,4.32,4.14
2019-01-16,2019-01-16,344.78,352.0,343.5,346.05,346.05,4691739.0,0.0,1.0,14.7,3.66,4.02
2019-01-17,2019-01-17,346.21,351.5,344.15,347.31,347.31,3676733.0,0.0,1.0,14.7,4.14,4.14
2019-01-18,2019-01-18,323.0,327.1297,299.7301,302.26,302.26,24150763.0,0.0,1.0,20.58,4.56,4.8
2019-01-22,2019-01-22,304.82,308.0,295.5,298.92,298.92,12066741.0,0.0,1.0,14.2,2.85,3.3
2019-01-23,2019-01-23,292.5,294.5,281.69,287.59,287.59,12529993.0,0.0,1.0,14.6,3.5,4.08
2019-01-24,2019-01-24,283.03,293.68,279.2831,291.51,291.51,8012155.0,0.0,1.0,14.2,3.8,4.32
2019-01-25,2019-01-25,294.39,298.5195,289.55,297.04,297.04,7258078.0,0.0,1.0,14.0,3.2,4.08
2019-01-28,2019-01-28,292.91,297.46,287.75,296.38,296.38,6423279.0,0.0,1.0,14.0,5.46,7.000000000000001
2019-01-29,2019-01-29,295.27,298.5566,291.8,297.46,297.46,4621692.0,0.0,1.0,14.0,5.76,5.95
2019-01-30,2019-01-30,300.45,309.0,298.49,308.77,308.77,11250318.0,0.0,1.0,16.400000000000002,4.8,5.74
2019-01-31,2019-01-31,301.0,311.5636,294.0,307.02,307.02,12569245.0,0.0,1.0,16.6,4.74,5.6000000000000005
