date,hiring,work,usajob,apply
2018-03-13,50.400000000000006,76.80000000000001,21.5,38.129999999999995
2018-03-14,49.28,75.2,29.24,36.9
2018-03-15,49.84,74.4,0.0,38.129999999999995
2018-03-16,40.88,70.4,29.669999999999998,33.62
2018-03-17,36.400000000000006,62.400000000000006,0.0,27.88
2018-03-18,40.599999999999994,67.24,22.96,31.08
2018-03-19,57.99999999999999,80.36,19.040000000000003,39.9
2018-03-20,54.519999999999996,82.0,19.040000000000003,40.32
2018-03-21,53.36,80.36,18.48,41.58
2018-03-22,53.94,78.72,19.6,38.64
2018-03-23,45.239999999999995,74.61999999999999,20.160000000000004,37.379999999999995
2018-03-24,40.599999999999994,64.78,0.0,31.08
2018-03-25,44.4,65.60000000000001,0.0,31.159999999999997
2018-03-26,57.599999999999994,76.80000000000001,0.0,39.36
2018-03-27,57.0,78.4,17.15,41.0
2018-03-28,57.0,77.60000000000001,34.3,39.769999999999996
2018-03-29,51.6,75.2,34.3,38.129999999999995
2018-03-30,48.6,68.8,18.13,35.26
2018-03-31,39.0,61.6,20.58,27.06
2018-04-01,34.16,55.89,0.0,30.099999999999998
2018-04-02,57.339999999999996,70.47,37.0,41.28
2018-04-03,61.0,74.52000000000001,0.0,42.57
2018-04-04,59.17,72.9,0.0,39.99
2018-04-05,55.51,74.52000000000001,12.209999999999999,39.99
2018-04-06,47.58,69.66000000000001,12.58,36.98
2018-04-07,39.65,60.75000000000001,14.06,30.96
2018-04-08,39.65,63.959999999999994,0.0,33.97
2018-04-09,57.339999999999996,77.08,0.0,43.0
2018-04-10,59.17,76.25999999999999,14.08,43.0
2018-04-11,59.78,77.89999999999999,14.52,40.85
2018-04-12,50.629999999999995,77.08,19.36,39.99
2018-04-13,45.14,71.33999999999999,14.52,39.13
2018-04-14,39.04,60.68,0.0,32.68
2018-04-15,45.26,63.99,0.0,33.18
2018-04-16,57.66,72.9,20.150000000000002,39.48
2018-04-17,59.519999999999996,74.52000000000001,27.3,41.16
2018-04-18,58.28,74.52000000000001,21.45,40.32
2018-04-19,55.18,74.52000000000001,31.85,39.9
2018-04-20,47.12,69.66000000000001,32.5,35.28
2018-04-21,40.3,59.940000000000005,25.35,28.98
2018-04-22,40.95,63.91,0.0,32.68
2018-04-23,60.480000000000004,77.19,23.04,41.28
2018-04-24,62.37,80.50999999999999,20.16,41.28
2018-04-25,57.33,79.67999999999999,20.16,41.28
2018-04-26,56.07,83.0,0.0,38.7
2018-04-27,48.51,69.72,24.0,36.12
2018-04-28,42.21,58.099999999999994,19.2,30.099999999999998
2018-04-29,46.15,60.800000000000004,12.48,28.98
2018-04-30,62.400000000000006,72.8,20.48,40.32
2018-05-01,50.050000000000004,78.4,6.4,41.58
2018-05-02,50.050000000000004,78.4,9.6,38.22
2018-05-03,49.4,76.80000000000001,0.0,38.22
2018-05-04,43.550000000000004,72.8,6.4,36.12
2018-05-05,39.0,62.400000000000006,15.36,31.5
2018-05-06,40.300000000000004,63.99,10.56,29.93
2018-05-07,53.95,76.63000000000001,11.44,38.54
2018-05-08,56.550000000000004,75.84,8.8,39.36
2018-05-09,52.0,79.0,8.8,39.36
2018-05-10,48.1,76.63000000000001,11.88,39.769999999999996
2018-05-11,41.6,71.89,18.04,34.44
2018-05-12,37.7,60.830000000000005,22.0,29.11
2018-05-13,36.720000000000006,60.800000000000004,20.5,26.88
2018-05-14,57.120000000000005,76.0,27.88,41.16
2018-05-15,57.800000000000004,77.60000000000001,24.599999999999998,42.0
