,Trump,Donald Trump,President of USA,Close,DateTime
419,50.0,10.0,0.0,109.195,2020-01-17 22:00:00
420,56.0,11.0,0.0,109.5,2020-01-17 23:00:00
421,55.0,11.0,0.0,109.5,2020-01-18 00:00:00
422,40.0,9.0,0.0,108.72,2020-01-21 11:00:00
423,42.0,9.0,0.0,111.275,2020-01-21 12:00:00
424,48.0,10.0,0.0,105.97,2020-01-21 13:00:00
425,51.0,11.0,0.0,109.82,2020-01-21 14:00:00
426,55.0,11.0,0.0,109.315,2020-01-21 15:00:00
427,60.0,12.0,0.0,109.685,2020-01-21 16:00:00
428,70.0,15.0,0.0,109.52,2020-01-21 17:00:00
429,82.0,18.0,0.0,109.42,2020-01-21 18:00:00
430,82.0,17.0,0.0,109.27,2020-01-21 19:00:00
431,83.0,17.0,0.0,109.235,2020-01-21 20:00:00
432,90.0,18.0,0.0,107.195,2020-01-21 21:00:00
433,98.0,21.0,0.0,107.47,2020-01-21 22:00:00
434,100.0,20.0,0.0,107.195,2020-01-21 23:00:00
435,99.0,20.0,0.0,107.195,2020-01-22 00:00:00
436,31.0,7.0,0.0,105.775,2020-01-22 09:00:00
437,33.0,7.0,0.0,105.775,2020-01-22 10:00:00
438,43.0,9.0,0.0,105.775,2020-01-22 11:00:00
439,49.0,10.0,0.0,106.745,2020-01-22 12:00:00
440,53.0,11.0,0.0,105.775,2020-01-22 13:00:00
441,54.0,11.0,0.0,109.095,2020-01-22 14:00:00
442,57.0,12.0,0.0,109.29,2020-01-22 15:00:00
443,61.0,12.0,0.0,109.035,2020-01-22 16:00:00
444,66.0,13.0,0.0,108.975,2020-01-22 17:00:00
