,Unnamed: 0,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr,dynamic_corr2
381,381,2018-07-10,2788.5601,2795.5801,2786.24,2793.8401,2793.8401,3063850000.0,0.0,1.0,23.520000000000003,38.64,38.16,9.66,-0.670855281602871,-0.806000646870085
382,382,2018-07-11,2779.8201,2785.9099,2770.77,2774.02,2774.02,2964740000.0,0.0,1.0,21.000000000000004,41.4,38.69000000000001,8.61,-0.630464630398656,-0.780570341981403
383,383,2018-07-12,2783.1399,2799.22,2781.53,2798.29,2798.29,2821690000.0,0.0,1.0,22.4,39.1,39.75,9.66,-0.621747102108795,-0.7761811240782199
384,384,2018-07-13,2796.9299,2804.53,2791.6899,2801.3101,2801.3101,2614000000.0,0.0,1.0,25.480000000000004,39.1,42.93,13.86,-0.6077757053239771,-0.7629473962527429
385,385,2018-07-16,2797.3601,2801.1899,2793.3899,2798.4299,2798.4299,2812230000.0,0.0,1.0,23.2,40.5,40.81,21.6,-0.0404021326446226,-0.573924579778679
386,386,2018-07-17,2789.3401,2814.1899,2789.24,2809.55,2809.55,3050730000.0,0.0,1.0,24.07,39.15,39.22,30.0,0.5556579324469662,0.17807746874353897
387,387,2018-07-18,2811.3501,2816.76,2805.8899,2815.6201,2815.6201,3089780000.0,0.0,1.0,25.23,38.25,39.22,21.0,0.697139964084709,0.605045100932564
388,388,2018-07-19,2809.3701,2812.05,2799.77,2804.49,2804.49,3266700000.0,0.0,1.0,22.62,38.7,39.22,17.4,0.561878971643054,0.594080072376913
389,389,2018-07-20,2804.55,2809.7,2800.01,2801.8301,2801.8301,3230210000.0,0.0,1.0,23.78,36.9,43.99,16.2,0.516944403386557,0.49737797880701795
390,390,2018-07-23,2799.1699,2808.6101,2795.1399,2806.98,2806.98,2907430000.0,0.0,1.0,25.52,43.0,43.45,11.5,0.526962948171102,0.378309410699082
391,391,2018-07-24,2820.6799,2829.99,2811.1201,2820.3999,2820.3999,3417530000.0,0.0,1.0,29.0,42.0,41.25,11.04,0.15413469179709302,-0.0698331232878956
392,392,2018-07-25,2817.73,2848.03,2817.73,2846.0701,2846.0701,3553010000.0,0.0,1.0,24.65,42.0,45.65000000000001,14.49,-0.19135572351874802,-0.36922407362732
393,393,2018-07-26,2835.49,2845.5701,2835.26,2837.4399,2837.4399,3653330000.0,0.0,1.0,19.72,44.0,43.45,11.73,0.367150407604127,-0.273395709850911
394,394,2018-07-27,2842.3501,2843.1699,2808.3401,2818.8201,2818.8201,3415710000.0,0.0,1.0,19.72,47.0,44.0,11.5,0.10577022812266901,-0.453950721199201
395,395,2018-07-30,2819.0,2821.74,2798.1101,2802.6001,2802.6001,3245770000.0,0.0,1.0,19.6,38.25,39.96,7.8000000000000025,-0.0966965871291737,-0.553089197172181
396,396,2018-07-31,2809.73,2824.46,2808.0601,2816.29,2816.29,3892100000.0,0.0,1.0,23.8,38.25,40.5,8.200000000000001,-0.519598505533226,-0.6776968385210199
397,397,2018-08-01,2821.1699,2825.8301,2805.8501,2813.3601,2813.3601,3496990000.0,0.0,1.0,23.24,44.1,41.58000000000001,11.6,-0.615857329412562,-0.7506803186001909
398,398,2018-08-02,2800.48,2829.9099,2796.3401,2827.22,2827.22,3467380000.0,0.0,1.0,17.64,45.0,44.28,11.4,-0.4093010677367879,-0.694445759393918
399,399,2018-08-03,2829.6201,2840.3799,2827.3701,2840.3501,2840.3501,3030390000.0,0.0,1.0,21.28,44.1,46.98,11.0,-0.35708133475408504,-0.6835195090037111
400,400,2018-08-06,2840.29,2853.29,2835.98,2850.3999,2850.3999,2874540000.0,0.0,1.0,21.840000000000003,42.14,42.93,11.2,-0.414351807085212,-0.702967296290026
401,401,2018-08-07,2855.9199,2863.4299,2855.9199,2858.45,2858.45,3162770000.0,0.0,1.0,24.36000000000001,42.57,40.28,12.4,-0.39750577567648404,-0.708653387820805
402,402,2018-08-08,2856.79,2862.4399,2853.0901,2857.7,2857.7,2972200000.0,0.0,1.0,19.040000000000006,41.71,39.22,10.2,-0.13436954409313098,-0.661351528946582
403,403,2018-08-09,2857.1899,2862.48,2851.98,2853.5801,2853.5801,3047050000.0,0.0,1.0,22.4,42.14,41.87000000000001,9.6,-0.439274259163767,-0.7196607098522549
404,404,2018-08-10,2838.8999,2842.2,2825.8101,2833.28,2833.28,3256040000.0,0.0,1.0,21.840000000000003,39.13,43.99,10.4,-0.572989478752515,-0.757158649165397
405,405,2018-08-13,2835.46,2843.3999,2819.8799,2821.9299,2821.9299,3158450000.0,0.0,1.0,27.84,43.0,42.40000000000001,9.31,-0.539406813445195,-0.759216771732015
406,406,2018-08-14,2827.8799,2843.1101,2826.5801,2839.96,2839.96,2976970000.0,0.0,1.0,24.36,42.14,39.75,10.45,-0.616431092361572,-0.777712833646134
407,407,2018-08-15,2827.95,2827.95,2802.49,2818.3701,2818.3701,3645070000.0,0.0,1.0,20.01,42.57,40.28,10.26,-0.545273090107644,-0.773500228716466
