,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2019-03-29,2019-03-29,61.63,61.63,61.18,61.31,12.262,12598.0,0.0,1.0,52.29,51.84,2.19,58.74,3.45,39.53
2019-04-01,2019-04-01,61.95,62.98,61.78,62.86,12.572000000000001,8288.0,0.0,1.0,53.55,55.8,2.68,58.290000000000006,3.25,32.45
2019-04-02,2019-04-02,63.31,64.0,63.3,63.92,12.784,54946.0,0.0,1.0,54.18,62.0,2.52,60.3,4.25,32.45
2019-04-03,2019-04-03,63.83,64.1,63.42,63.75,12.75,15221.0,0.0,1.0,55.44,58.9,2.64,49.58000000000001,3.6,33.04
2019-04-04,2019-04-04,63.67,63.83,63.4003,63.4152,12.683,11846.0,0.0,1.0,54.18,57.66,2.04,63.65000000000001,3.1,35.4
2019-04-05,2019-04-05,63.79,64.64,63.74,64.5804,12.9161,183955.0,0.0,1.0,52.92,51.46,2.0,54.94000000000001,2.8000000000000003,38.35
2019-04-08,2019-04-08,65.0,65.83,65.0,65.75,13.15,22262.0,0.0,1.0,55.68,61.11,2.01,50.25,4.02,35.37999999999999
2019-04-09,2019-04-09,65.51,65.52,65.1,65.4,13.08,4961.0,0.0,1.0,53.76,59.22,1.95,58.96,4.5,33.059999999999995
2019-04-10,2019-04-10,65.64,66.21,65.56,65.81,13.162,7242.0,0.0,1.0,53.76,61.74,1.59,50.25,4.14,31.9
2019-04-11,2019-04-11,65.46,65.4708,64.8556,65.0899,13.017999999999999,6341.0,0.0,1.0,53.12000000000001,55.44,2.04,48.24,5.04,33.059999999999995
2019-04-12,2019-04-12,65.61,65.7,65.2567,65.2572,13.0514,4601.0,0.0,1.0,54.4,57.33,1.74,46.23,4.32,37.12
2019-04-15,2019-04-15,64.95,65.17,64.61,64.9901,12.998,31934.0,0.0,1.0,51.46,51.92,1.53,57.12000000000001,3.9,32.45
2019-04-16,2019-04-16,64.96,65.6579,64.6348,65.6579,13.1316,9246.0,0.0,1.0,52.7,53.1,1.71,59.16,4.2,33.04
2019-04-17,2019-04-17,65.57,66.06,65.1659,65.1878,13.0376,3438.0,0.0,1.0,52.08,50.74,1.2,54.40000000000001,3.7,31.86
2019-04-18,2019-04-18,64.42,65.4237,64.42,65.4237,13.0847,6895.0,0.0,1.0,54.56,51.92,1.2,58.48,3.25,37.17
2019-04-22,2019-04-22,66.87,67.35,66.8401,67.15,13.43,30627.0,0.0,1.0,54.18,52.8,3.85,66.42999999999999,7.000000000000001,35.91000000000001
2019-04-23,2019-04-23,67.44,67.93,67.31,67.7251,13.545,20757.0,0.0,1.0,54.18,59.4,5.0,58.4,6.65,34.65
2019-04-24,2019-04-24,67.8,67.87,67.12,67.14,13.427999999999999,19546.0,0.0,1.0,53.55,54.6,3.95,65.7,3.640000000000001,35.91000000000001
2019-04-25,2019-04-25,67.2,67.2,66.3687,66.3687,13.2737,4453.0,0.0,1.0,54.18,51.6,2.7,56.21,4.130000000000001,38.43
2019-04-26,2019-04-26,65.72,65.72,63.6,64.27,12.854000000000001,22050.0,0.0,1.0,52.92,45.6,3.35,57.67,4.62,44.73
2019-04-29,2019-04-29,64.6,65.01,64.24,64.94,12.988,11497.0,0.0,1.0,51.03,59.85,1.23,62.56,4.56,34.8
2019-04-30,2019-04-30,65.56,65.56,64.7668,65.2674,13.0535,15496.0,0.0,1.0,51.66,61.74,1.56,47.6,4.56,31.32
2019-05-01,2019-05-01,65.18,65.25,64.26,64.9546,12.9909,7235.0,0.0,1.0,52.92,63.0,1.35,55.08000000000001,4.38,31.9
2019-05-02,2019-05-02,63.38,63.38,62.31,62.93,12.585999999999999,12417.0,0.0,1.0,52.29,57.96,2.04,45.56,5.2799999999999985,31.9
2019-05-03,2019-05-03,63.27,63.6397,63.17,63.17,12.634,4748.0,0.0,1.0,52.29,53.55,1.26,57.12000000000001,4.8599999999999985,32.48
2019-05-06,2019-05-06,62.83,64.2301,62.83,64.17,12.834000000000001,13333.0,0.0,1.0,51.66,53.76000000000001,1.89,46.08,2.9000000000000004,29.89
2019-05-07,2019-05-07,62.8,62.94,62.04,62.56,12.512,31398.0,0.0,1.0,51.03,51.52,2.58,52.48,1.9,32.33
2019-05-08,2019-05-08,62.7006,63.48,62.7006,63.2696,12.6539,2726.0,0.0,1.0,51.03,51.52,1.23,46.72,3.2,31.72
2019-05-09,2019-05-09,62.89,62.95,62.4976,62.8933,12.5787,107338.0,0.0,1.0,52.29,52.08000000000001,1.56,51.84,3.4000000000000004,35.99
2019-05-10,2019-05-10,63.0,63.3357,62.9,62.94,12.588,4864.0,0.0,1.0,52.29,45.92,1.98,51.2,3.3000000000000003,39.65
2019-05-13,2019-05-13,64.39,64.62,62.1042,62.178000000000004,12.4356,14270.0,0.0,1.0,50.63,44.82,2.49,51.00000000000001,3.75,34.65
2019-05-14,2019-05-14,63.07,63.41,62.94,63.1345,12.6269,29112.0,0.0,1.0,52.46,44.28,1.77,61.2,3.25,33.39
2019-05-15,2019-05-15,62.69,63.75,62.69,63.71,12.742,7550.0,0.0,1.0,51.24,45.36,1.23,67.32000000000001,2.85,33.39
2019-05-16,2019-05-16,64.3,64.96,64.3,64.5319,12.9064,7310.0,0.0,1.0,49.41,44.82,1.77,55.76000000000001,3.75,34.02
2019-05-17,2019-05-17,64.56,65.07,64.1,64.1783,12.8357,11569.0,0.0,1.0,50.02,38.34,2.73,48.28,2.0,35.91000000000001
