date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef
2017-07-27,49.35,49.36,49.31,49.31,9.862,6304.0,0.0,1.0
2017-07-26,48.95,48.95,48.95,48.95,9.79,327.0,0.0,1.0
2017-07-25,48.09,48.09,48.09,48.09,9.618,263.0,0.0,1.0
2017-07-24,46.61,46.64,46.61,46.64,9.328,940.0,0.0,1.0
2017-07-21,46.2413,46.2413,46.0899,46.0899,9.218,609.0,0.0,1.0
2017-07-20,46.49,46.49,46.49,46.49,9.298,0.0,0.0,1.0
2017-07-19,46.49,46.49,46.49,46.49,9.298,50.0,0.0,1.0
2017-07-18,46.49,46.49,46.49,46.49,9.298,0.0,0.0,1.0
2017-07-17,46.49,46.49,46.49,46.49,9.298,6439.0,0.0,1.0
2017-07-14,46.39,46.39,46.39,46.39,9.278,0.0,0.0,1.0
2017-07-13,46.42,46.42,46.39,46.39,9.278,200.0,0.0,1.0
2017-07-12,45.84,46.29,45.8,45.8,9.16,21300.0,0.0,1.0
2017-07-11,44.9499,44.9499,44.9499,44.9499,8.99,177.0,0.0,1.0
2017-07-10,44.9499,44.9499,44.9499,44.9499,8.99,255.0,0.0,1.0
2017-07-07,45.55,45.55,45.55,45.55,9.11,50.0,0.0,1.0
2017-07-06,45.55,45.55,45.55,45.55,9.11,0.0,0.0,1.0
2017-07-05,45.9,45.9,45.4902,45.55,9.11,446.0,0.0,1.0
2017-07-03,45.9616,45.9616,45.9616,45.9616,9.1923,0.0,0.0,1.0
2017-06-30,45.9616,45.9616,45.9616,45.9616,9.1923,135.0,0.0,1.0
2017-06-29,45.0,45.0,45.0,45.0,9.0,50.0,0.0,1.0
2017-06-28,45.07,45.07,44.92,45.0,9.0,1580.0,0.0,1.0
2017-06-27,42.925,42.925,42.925,42.925,8.585,0.0,0.0,1.0
2017-06-26,42.925,42.925,42.925,42.925,8.585,0.0,0.0,1.0
2017-06-23,42.925,42.925,42.925,42.925,8.585,0.0,0.0,1.0
2017-06-22,42.925,42.925,42.925,42.925,8.585,8050.0,0.0,1.0
2017-06-21,42.69,42.925,42.69,42.925,8.585,591.0,0.0,1.0
2017-06-20,43.8524,43.8524,43.8524,43.8524,8.7705,139.0,0.0,1.0
2017-06-19,45.14,45.14,45.14,45.14,9.028,146.0,0.0,1.0
2017-06-16,45.14,45.14,45.14,45.14,9.028,40.0,0.0,1.0
2017-06-15,45.14,45.14,45.14,45.14,9.028,0.0,0.0,1.0
2017-06-14,46.59,46.59,45.14,45.14,9.028,1230.0,0.0,1.0
2017-06-13,46.79,47.0012,46.79,47.0012,9.4002,1254.0,0.0,1.0
2017-06-12,48.0372,48.0372,48.0372,48.0372,9.6074,3004.0,0.0,1.0
2017-06-09,48.0372,48.0372,48.0372,48.0372,9.6074,7.0,0.0,1.0
2017-06-08,48.0372,48.0372,48.0372,48.0372,9.6074,0.0,0.0,1.0
2017-06-07,48.0372,48.0372,48.0372,48.0372,9.6074,73.0,0.0,1.0
2017-06-06,48.0372,48.0372,48.0372,48.0372,9.6074,13.0,0.0,1.0
2017-06-05,48.15,48.15,48.0372,48.0372,9.6074,453.0,0.0,1.0
2017-06-02,48.2593,48.2593,48.2593,48.2593,9.6519,201.0,0.0,1.0
2017-06-01,50.2,50.2,50.2,50.2,10.04,0.0,0.0,1.0
2017-05-31,50.2,50.2,50.2,50.2,10.04,0.0,0.0,1.0
2017-05-30,50.1999,50.2,50.1769,50.2,10.04,1739.0,0.0,1.0
2017-05-26,49.97,49.97,49.97,49.97,9.994,51.0,0.0,1.0
2017-05-25,49.97,49.97,49.97,49.97,9.994,127.0,0.0,1.0
2017-05-24,51.77,51.82,51.76,51.82,10.364,1577.0,0.0,1.0
2017-05-23,50.19,50.19,50.19,50.19,10.038,0.0,0.0,1.0
2017-05-22,50.19,50.19,50.19,50.19,10.038,0.0,0.0,1.0
2017-05-19,50.19,50.19,50.19,50.19,10.038,0.0,0.0,1.0
2017-05-18,50.19,50.19,50.19,50.19,10.038,27.0,0.0,1.0
2017-05-17,49.95,50.22,49.9075,50.19,10.038,873.0,0.0,1.0
2017-05-16,50.19,50.19,50.19,50.19,10.038,78.0,0.0,1.0
2017-05-15,50.19,50.19,50.19,50.19,10.038,178.0,0.0,1.0
2017-05-12,48.56,48.56,48.56,48.56,9.712,0.0,0.0,1.0
2017-05-11,48.56,48.56,48.56,48.56,9.712,20.0,0.0,1.0
2017-05-10,47.7099,48.56,47.7099,48.56,9.712,1049.0,0.0,1.0
2017-05-09,47.09,47.09,47.09,47.09,9.418,304.0,0.0,1.0
2017-05-08,46.3622,46.3622,46.3622,46.3622,9.2724,0.0,0.0,1.0
2017-05-05,46.3622,46.3622,46.3622,46.3622,9.2724,200.0,0.0,1.0
2017-05-04,46.48,46.48,46.3622,46.3622,9.2724,1000.0,0.0,1.0
2017-05-03,48.62,48.62,48.62,48.62,9.724,0.0,0.0,1.0
2017-05-02,49.1,49.1,48.5,48.62,9.724,8700.0,0.0,1.0
2017-05-01,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-28,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-27,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-26,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-25,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-24,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-21,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-20,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-19,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-18,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-17,53.29,53.29,53.29,53.29,10.658,3.0,0.0,1.0
2017-04-13,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-12,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-11,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-10,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-07,53.29,53.29,53.29,53.29,10.658,0.0,0.0,1.0
2017-04-06,53.29,53.29,53.29,53.29,10.658,1.0,0.0,1.0
2017-04-05,53.23,53.29,53.23,53.29,10.658,7201.0,0.0,1.0
2017-04-04,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0
2017-04-03,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0
2017-03-31,51.66,51.67,51.66,51.66,10.332,5600.0,0.0,1.0
